slug,Відповідальна особа,Категорія,Підкатегорія,товари,price,name,type,description,quantity,sold,global_rating(0-5),discount,not used
slug_011,,,настільні лампи,https://bt.rozetka.com.ua/ua/taigexin-tgx-7007/p375533970/,519,Настільна лампа Taigexin LED,Настільні лампи,"Led лампа TGX-7007 від бренду FunDesk – це високоякісна та ефективна лампа з LED освітленням, яка стане чудовим доповненням до будь-якого інтер'єру. Лампа виготовлена з високоякісних матеріалів, що забезпечує її довговічність та стійкість до ударів та подряпин. TGX-7007 має холодне світло. Лампа оснащена тач-кнопкою вмикання/вимикання та регулюванням яскравості, що забезпечує зручне керування світлом.
Тип - Функціональні (Для роботи/навчання)
Тип використовуваної лампи - Світлодіодна (LED)
Напруга, В - 5 В
Колір основи - Білий
Колір плафона - Білий
Потужність, Вт - 5 Вт
Джерело живлення - Від акумулятора, Від мережі
Особливості - З USB виходом, Режим нічника
Стиль - Сучасний
Термін служби (тільки LED), год - 15000 год.",5,2,4,,
slug_012,,,настільні лампи,https://bt.rozetka.com.ua/ua/baseus-dgrad-0g/p363576393/,598,Настільна лампа Baseus,Настільні лампи,"Портативна настільна лампа для використання при читанні, малюванні, роботі за комп'ютером та багато іншого. Невеликі розміри та вага дозволяють носити лампу із собою у сумці або рюкзаку. Вбудований акумулятор ємністю 350мАч дає живлення на 5 годин безперервної роботи при максимальній яскравості та до 24 годин при мінімальній.
Тип - Функціональні (Для роботи/навчання)
Тип використовуваної лампи - LED-модуль (незмінне джерело світла)
Призначення - Для читання
Напруга, В - 5 В
Колір основи - Чорний
Колір плафона - Сірий
Потужність, Вт - 3 Вт
Джерело живлення - Від акумулятора, Від мережі
Особливості - З USB виходом , З лампою у комплекті, Режим нічника
Стиль - Сучасний",0,35,5,,
slug_013,,,масажери,https://www.foxtrot.com.ua/uk/shop/massazhyoriy_beurer_smg_11.html,819,Масажер BEURER SMG 11,Масажери,"Характеристики
Види масажу - вібромасаж
Тип масажера - ручний масажер
Кількість режимів масажу - 1
Матеріал - пластик
Розміри - 10 х 10 х 9см
Вага - 160г
Гарантія - 24 міс.
",18,25,0,,
slug_014,,,масажери,https://bt.rozetka.com.ua/ua/recharge-7152-0001/p326037433/,649,Масажер для шиї Recharge,Масажери,"Щоб позбутися постійного напруження, спазмів і тупого болю в зоні шиї, рекомендуємо використовувати електричний масажер. Такий масажер допоможе розслабитися й зняти всі неприємні прояви. Ви позбудетеся головного болю, безсоння, відчуття скутості та інших симптомів.
Сеанси релаксації з електричним масажером Recharge можна проводити будь-де: в офісі, вдома, у подорожі чи відрядженні.
Кількість режимів масажу - 6
Призначення - Для плечей, Для шиї
Вид масажера - Масажний комір
Особливості - Кабель micro USB: 44 см
Довжина кабелю з двома електродами: 75 см
Упаковка: картонна коробка
Комплектація - Масажер, Кабель micro USB, Гелеві накладки - 2 шт., Інструкція англійською мовою
Вага - 0.18 кг
Вид масажу - Імпульсний
Колір - Білий
Живлення - Акумулятор
Габарити (ВхШхГ)
26 х 14 х 5 см",13,38,3,5,
slug_015,,,масажери,https://bt.rozetka.com.ua/ua/supretto-8222-0001/p393036339/,399,Масажний килимок Supretto,Масажери,"Якщо наприкінці дня ви відчуваєте неприємну втому в ногах, спробуйте наш масажний рефлекторний килимок Supretto. Він забезпечить релаксацію, розслаблення та полегшення больових відчуттів у ногах та тілі.Рефлексотерапія. Основним принципом дії масажного килимка для ніг є рефлексотерапія. Відомо, що на стопах розташовані спеціально точки, що впливають на все тіло. Масаж цих точок допоможе позбавитися неприємної втоми з ніг і тіла в цілому, покращити мікроциркуляцію, зняти напругу м'язів, набряклість, полегшити тяжкість у ногах.
Призначення - Для стоп
Вид масажера - Масажний килимок, матрац
Особливості - Рельєфна поверхня килимка оснащена двома додатковими масажними ділянками, які впливають на склепіння стопи. Забезпечить релаксацію, розслаблення та полегшення больових відчуттів у ногах та тілі
Комплектація - Килимок рефлекторний, Упаковка
Вага - 0.275 кг
Вид масажу - Акупресура (точковий масаж)
Колір - Зелений
Габарити в упаковці (ВхШхГ) - 35.5 х 37 х 1.5 см
Країна реєстрації бренду - Україна
Гарантія - 14 днів офіційної гарантії від виробника",19,41,4,,
slug_016,Владислава Чайка,Посуд,чашки,https://rozetka.com.ua/ua/282979188/p282979188/,150,Чашка біла з математичними формулами,Чашка ,"Прикольні і незвичайні чашки з написами або з милими малюнками - це позитивні емоції, які залишаються з вами надовго. Оригінальна чашка стане відмінним доповненням до будь-якої кухні, її зовнішній вигляд буде радувати не тільки вас, але і ваших гостей, а пити з цієї чашки одне задоволення!Керамічна чашка стане відмінним подарунком для ваших рідних і близьких людей. Цікавий принт підкреслить стиль і настрій.",13,28,0,,
slug_017,,,чашки,https://rozetka.com.ua/ua/375714933/p375714933/,300,"Кружка біла керамічна ""Ти ж програміст""",Чашка ,"Гарячий чай або ранкова кава – що може бути кращим? Насправді кращим може бути кружка яка здатна не тільки тримати в собі ваш улюблений напій, але й захищати ваші руки від опіків.
Виготовляючи кружки для наших улюблених покупців ми використовуємо якісну та вельми товсту кераміку, завдяки чому ваші ручки будуть у безпеці. Крім того, ми пропонуємо зручний об’єм у 320 мілілітрів – саме те для чайоманів та фанатів кавових напоїв.
Окремої уваги варті принти, адже ми друкуємо їх з усією любов’ю та не жаліємо фарби, для вашої усмішки. Тож якщо ви хочете посміхатися кожного ранку дивлячись на кружку, як би це не виглядало, або шукаєте подарунок для друга, від якого він буде у захваті – завітайте до каталогу Чайник Рассела, адже нам є що вам запропонувати!",12,50,5,,
slug_018,,,чашки,https://rozetka.com.ua/ua/336143281/p336143281/,450,"Чашка для програміста ""Яке ТЗ""",Чашка ,"Це аксіома: якщо немає чітких критеріїв завдання — чекай від результату чого завгодно. І коли завгодно. Якщо взагалі колись. Кружка програмісту Яке ТЗ нагадує про це. Втім, принцип працює не лише зі сферою IT. Те ж саме можна сказати про дизайнерів, копірайтерів, маркетологів, фотографів... Купити чашку з таким принтом можна багато кому, так що май на увазі якщо шукаєш універсальні подарунки.",19,4,1,,
slug_019,,,термокружки,https://rozetka.com.ua/ua/tramp_trc_030/p1708102/,802,Термос Tramp Expedition Line,Термос,"Завдяки подвійній стінці довго зберігає температуру як гарячих, так і холодних напоїв.
Термос укомплектований глухою пробкою з каналами для наливання в напівзакритому стані. Ця конструкція дає змогу наливати рідину, не відкручуючи пробку повністю, що зменшує втрату температури під час експлуатації.
Зроблений із легкого та міцного зносостійкого матеріалу.
Має додаткову пластикову чашку.
Спеціальна обробка внутрішнього покриття дає змогу легко мити термос зсередини.
Завдяки вузькій витягнутій формі термос легко поміщається в рюкзаку або портфелі.
У виробництві використовується високоякісна, екологічно безпечна сировина.",4,45,3,,
slug_020,,,термокружки,https://rozetka.com.ua/ua/tefal-k3140314/p374754267/,1300,Термос Tefal Ponza Pump,Термос,"Ультрасучасний термос Tefal Ponza Pump з передовою технологією Comfort Press для максимальної зручності використання та простоти. Ідеально підходить для будь-якого випадку, відрізняється стильним дизайном і збереженням тепла.
Зручне та легке використання
Технологія Comfort Press забезпечує виняткову простоту використання та комфорт, а помпа дозволяє повністю контролювати кількість.
Продуманість до дрібниць
Легкість наповнення та очищення завдяки таким функціям, як знімний піддон для збору крапель та зручній ручці для перенесення.
Знімна кришка для зручного очищення та наповнення
Знімна кришка робить очищення легким, а процес наповнення простіше простого.
Збереження температури
Термос Tefal Ponza Pump дозволяє насолоджуватися смачними гарячими напоями ідеальної температури до дванадцятої години або холодними напоями до двадцяти чотирьох годин.
Об'єм 1.9 л для великих компаній
Цей ультрасучасний термос місткістю 1.9 л ідеально підійде для великих компаній, будь то вдома, в офісі або на важливих заходах.",8,30,2,,
